Nom,Auteurs,"Sujets, Mots-clés",Mis à jour,Création,Licence,Début,Fin,Lignes,Sites,Type,Etat,Couverture,Couverture Geom,Échelle,Langue,Description
France_sud_enceintes_Fer,Marcello Turci - Loup Bernard,"Enceintes, Age du Fer, Oppidum, Provence, Languedoc",2020-09-03 14:21,2020-09-01 11:25,CC-BY-NC,-1249,13,927,926,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[2.7303798,43.04573],[2.7303798,44.315512224916],[7.53612480535337,44.315512224916],[7.53612480535337,43.04573],[2.7303798,43.04573]]]}",Site,fr,Table synthétique des enceintes de l'âge du Fer dans le Midi à destination des géographes et cartographes.
France_sud_villes_habitats_antiques,Marcello Turci - Loup Bernard,"Chef lieu, villes, relais routières, Antiquité, Provence, Languedoc",2020-09-01 16:11,2020-09-01 15:49,CC-BY-NC,-750,1491,127,126,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[0.8325,42.46495],[0.8325,45.37169],[7.27625009943034,45.37169],[7.27625009943034,42.46495],[0.8325,42.46495]]]}",Site,fr,"Synthesis table of the main cities, towns, road relays of Antiquity in the South of France for non-specialist modellers."
France_sud_Villae romaines,Marcello Turci - Loup Bernard,"Villae, possible villae, établissements rurals de type villa, époque romain, Provence, Languedoc",2020-09-01 15:31,2020-09-01 14:40,CC-BY-NC,-118,600,1267,1266,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[0.8325,42.6664084877099],[0.8325,44.8699414841023],[7.39040429787734,44.8699414841023],[7.39040429787734,42.6664084877099],[0.8325,42.6664084877099]]]}",Pays,fr,Synthetic table of the villae and villa-type establishments of the Roman period in the South of France for non-specialist modelers
France_sud_Villae_Ouzoulias2015,Marcello Turci,"Villae, époque romain, Provence, Languedoc, caractère exceptionnel",2020-09-01 14:18,2020-09-01 14:02,CC-BY-NC,-118,600,89,88,Inventaire,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[0.98734103530088,42.6664084877099],[0.98734103530088,44.56638465699],[7.00024791636763,44.56638465699],[7.00024791636763,42.6664084877099],[0.98734103530088,42.6664084877099]]]}",Site,fr,Synthetic table of the great villae of the Roman period in the South of France for non-specialized modellers.
Phenicien_Proche-Orient_hellenistique,Elodie GUILLON,"sites phéniciens, époque hellénistique",2020-08-31 17:05,2020-08-31 15:11,CC-BY-NC,-1100,700,2794,638,Recherche,Terminée,Continent,"{""type"":""Polygon"",""coordinates"":[[[34.546451,31.66216],[34.546451,35.371844],[36.458285,35.371844],[36.458285,31.66216],[34.546451,31.66216]]]}",Région,fr,"Sites phéniciens répertoriés et publiés, situés sur le territoire des cités phéniciennes. Les données ont été utilisées pour un travail de recherche de doctorat, sur le thème des arrière-pays des cités phéniciennes à l'époque hellénistique, publié sur HAL : https://tel.archives-ouvertes.fr/tel-00991865/document"
Sites cultuels romains du Rhin supérieur,Jean-Philippe Droux - Laurence Kelhetter,"Temples et mobilier religieux, Empire romain",2020-04-21 14:41,2020-04-21 14:41,CC-BY-NC-SA,-550,449,238,101,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.04618,47.53557],[7.04618,49.22971],[9.46457,49.22971],[9.46457,47.53557],[7.04618,47.53557]]]}",Site,fr,Etude du paysage religieux du Rhin supérieur à la période romaine - PIR  Laurence KELHETTER 2020
Objets parures lapidaires amérindiens en Antilles,Alain Queffelec - Jean-Baptiste CAVERNE,"Antilles, Caraïbe, Parures, Perles, Matières premières, Archéométrie",2020-04-06 19:18,2020-04-06 19:18,CC-BY-NC,-500,1914,5085,5080,Recherche,En cours,Continent,"{""type"":""Polygon"",""coordinates"":[[[-77.8,2.246573],[-77.8,24.09849],[-51.641553,24.09849],[-51.641553,2.246573],[-77.8,2.246573]]]}",Objet,fr,"Cette base de données regroupe les travaux menés par le PCR PAAF. Elle contient l'inventaire des objets de parure saladoïde des Antilles françaises, ainsi que les données issues de la littérature, pour les autres îles de la Caraïbe. Elle a vocation à regrouper l'ensemble des données de l'arc antillais et du nord-est de l'Amérique du Sud."
Patrimoine architectural-mh-Merimee Lozere,Philippe Jullien,"Patrimoine architectural, monument historique, circulation, production hydraulique",2020-04-01 17:35,2020-04-01 17:35,CC-BY-NC,-118,1894,23,13,Inventaire,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[3.19389,44.23274],[3.19389,44.710094],[3.93615,44.710094],[3.93615,44.23274],[3.19389,44.23274]]]}",Site,fr,"Immeubles protégés au titre des Monuments Historiques en Lozère, France. Il s'agit d'un extrait de la base Mérimée (circulation,production, hydraulique, gallo-romain, etc). Licence Ouverte (Etalab) chronologie utilisée : Cévennes"
Habitat fer Provence Delphine,Loup Bernard - Delphine Isoardi - Jean-Philippe Droux,"Habitat, enceinte, Provence, Âge du Fer",2020-02-07 17:01,2019-01-24 11:18,CC-BY-NC-SA,-2100,13,1943,1462,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[4.467347,43.093062],[4.467347,45.051091],[7.55413,45.051091],[7.55413,43.093062],[4.467347,43.093062]]]}",Site,fr,"Habitat, enceinte, Provence, Âge du Fer"
Cultuel Provence Âge du fer Delphine,Loup Bernard - Delphine Isoardi - Jean-Philippe Droux,Cultuel Provence Âge du fer Delphine,2020-01-31 10:48,2019-01-24 19:07,CC-BY-NC-SA,-1250,13,122,80,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[4.6575199,43.120541],[4.6575199,44.240968],[7.139131,44.240968],[7.139131,43.120541],[4.6575199,43.120541]]]}",Site,fr,Cultuel Provence Âge du fer Delphine
Sites fortifiés et de hauteur Néo/Proto du Jura ,Jean-Baptiste CAVERNE,"Enceinte, éperon barré, Néolithique, Protohistoire",2020-01-23 21:41,2019-02-04 21:14,CC-BY-NC,-4500,-26,92,91,Inventaire,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[5.300174,45.744063],[5.300174,47.817264],[8.233649,47.817264],[8.233649,45.744063],[5.300174,45.744063]]]}",Site,fr,Répartition des sites fortifiés et de hauteur pré- et protohistoriques dans le massif jurassien et ses abords
Funéraire Provence Âge du Fer Delphine,Loup Bernard - Delphine Isoardi - Jean-Philippe Droux,Funéraire Provence Âge du Fer,2020-01-21 11:22,2019-01-24 16:01,CC-BY-NC-SA,-2100,13,525,512,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[4.6277768,43.120541],[4.6277768,45.045842],[7.323877,45.045842],[7.323877,43.120541],[4.6277768,43.120541]]]}",Site,fr,Funéraire Provence Âge du Fer
"Danubius, sites chrétiens",Jean-Philippe Droux - Dominic Moreau,"Danubius, sites chrétiens",2019-11-22 16:23,2019-11-22 16:23,CC-BY-NC,400,1199,19,18,Recherche,En cours,Continent,"{""type"":""Polygon"",""coordinates"":[[[27.541283,43.88424],[27.541283,45.270526],[29.19792,45.270526],[29.19792,43.88424],[27.541283,43.88424]]]}",Site,fr,"Le projet DANUBIUS propose d’étudier la christianisation des régions danubiennes sur le très long temps, entre le IIIe et le VIIIe siècle ap. J.-C. Cette problématique n’a pas fait l’objet d’une synthèse complète depuis Les origines chrétiennes dans les provinces danubiennes de l’Empire romain de Jacques Zeiller (Paris, 1918). Ce projet – qui constitue la première étape d’un programme de recherche international et interdisciplinaire de longue durée – repose ainsi la question à la lumière de l’avancée scientifique des cent dernières années, à la fois en histoire et en archéologie, pour une meilleure compréhension de l’évolution simultanée de l’organisation ecclésiastique et de la topographie chrétienne. Dans un premier temps, il se concentrera sur la dernière section du Danube à avoir été perdue par Constantinople, qui est aussi la partie du fleuve la mieux documentée par les sources littéraires, c’est-à-dire le Bas-Danube (les provinces romaines tardives de Dacia Ripensis, Moesia Secunda et Scythia). Pour atteindre les objectifs, un système d’information géographique (SIG) des sièges épiscopaux et autres sites chrétiens sera déployé. Il sera structuré autour de trois axes.
Le premier axe, duquel sont issues les données déposées dans ArkeoGIS, prévoit la compilation d’une base de données analytique des sources anciennes, qui constitue le noyau du SIG. Elle rassemblera toutes les traces – tant matérielles qu’écrites (notamment les inscriptions, in situ ou non) – du christianisme dans la région jusqu’au VIIIe siècle. Cette base de données consacrera une fiche à chaque source enregistrée, une fiche qui correspondra à un protocole prédéterminé et à une typologie stricte, tout en offrant différentes possibilités de saisie textuelle (les textes anciens seront copiés dans leur langue d’origine et ne feront pas simplement l’objet de références bibliographiques), complétées par des images, des plans, des résultats de prospection de tous types, etc. Compte tenu de l’ampleur et de la richesse du matériel à traiter, on se concentrera dans un premier temps sur les sièges épiscopaux, les groupes épiscopaux et le mobilier lié à la fonction de l’évêque. Cette partie heuristique du projet offrira une classification sans précédent de la documentation nécessaire pour répondre à la problématique des relations entre christianisme et militarisation le long du Danube romain tardif."
