Structure / lab;Pays;Ville;Type;lat;lng
ALTALMA - La sismicità e l’idrologia del Ponente Ligure;Italie;Vintimille;Privé;43.7912366;7.6075864
ANARCHIS - ANalyse des formes ARCHItecturales et Spatiales;France;Strasbourg;Public;48.5734053;7.7521113
Antea Archéologie;France;Habsheim;Privé;47.728415;7.415866
APRAGE - Approches Pluridisciplinaires de Recherche Archéologique du Grand-Est;France;Besançon;Privé;47.237829;6.0240539
Archäologie Baselland;Suisse;Liestal;Public;47.4866143;7.7334272
Archäologie Büro & Verlag Glansdorp;Allemagne;Tholey;Privé;49.4821357;7.0323892
Archäologische Bodenforschung Basel-Stadt;Suisse;Bâle;Public;47.5595986;7.5885761
Archeodunum SAS;France;Chaponnay;Privé;45.6274322;4.9345198
Archéologie Alsace;France;Sélestat;Public;48.259386;7.454241
Arizona State University;États-Unis;Phoenix;Public;33.4484367;-112.0741417
Arkemine;France;Beaumont-lès-Valence;Privé;44.8624984;4.9420179
Association d'Archéologie et d'Histoire de Horbourg-Wihr;France;Horbourg-Wihr;Privé;48.0761566;7.3965041
Atelier d'Archéologie Alpine;France;Allèves;Privé;45.751838;6.081257
Bibracte EPCC;France;Glux-en-Glenne;Public;46.957317;4.028968
Casa Velazquez;Espagne;Madrid;Public;40.4167754;-3.7037902
CEA;France;Gif-sur-Yvette;Public;48.701844;2.134078
CEA Saclay;France;Saclay;Public;48.73668;2.180034
CEG - Centro de Estudos Geográficos da Universidade de Lisboa;Portugal;Lisbonne;Public;38.7222524;-9.1393366
CENIMAT|i3N;Portugal;Lisbonne;Public;38.7222524;-9.1393366
Centre de datation par le Radiocarbone;France;Villeurbanne;Public;45.771944;4.8901709
Centre de recherches d'archéologie nationale (UCLouvain);Belgique;Louvain-la-Neuve;Public;50.668081;4.6118324
Centre Départemental Archéologie de La Bassée;France;Bazoches-lès-Bray;Public;48.398458;3.1884553
Centre national de recherche archéologique;Luxembourg;Bertrange;Public;49.6082663;6.0510573
CEREGE -  Centre de Recherche et d'Enseignement de Géosciences de l'Environnement;France;Aix-en-Provence;Public;43.529742;5.447427
CICRP -  Centre Interdisciplinaire de Conservation et de Restauration du Patrimoine;France;Marseille;Public;43.296482;5.36978
CNRS-Paris - Centre National de la Recherche Scientifique;France;Paris;Public;48.856614;2.3522219
CNRS-Tours - Centre National de la Recherche Scientifique;France;Tours;Public;47.394144;0.68484
CNRS-Vandœuvre-lès-Nancy - Centre National de la Recherche Scientifique;France;Vandœuvre-lès-Nancy;Public;48.661118;6.17376
CNRS GDS 3378 - Frantiq – Fédération et ressources sur l'Antiquité;France;Nanterre;Public;48.892423;2.215331
CNRS UMR 5060 - IRAMAT - Institut de recherche sur les archéomatériaux;France;Belfort;Public;47.639674;6.863849
CNRS UMR 5133 - Archéorient - Environnements et sociétés de l'Orient ancien LABEX IMU 2018 - HYPERTHESAU;France;Lyon;Public;45.764043;4.835659
CNRS UMR 5138 - Laboratoire ArAr - Archéologie et Archéométrie;France;Lyon;Public;45.764043;4.835659
CNRS UMR 5140 - Archéologie des Sociétés Méditerranéennes;France;Montpellier;Public;43.610769;3.876716
CNRS UMR 5189 -HiSoMA - Histoire et Sources des Mondes Antiques;France;Lyon;Public;45.764043;4.835659
CNRS UMR 5194 - Pacte -;France;Grenoble;Public;45.1875602;5.7357819
CNRS UMR 5199 - PACEA - De la Préhistoire à l'Actuel : Culture Environnement et Anthropologie;France;Bordeaux;Public;44.837789;-0.57918
CNRS UMR 5204 - EDYTEM – Environnements DYnamiques et TErritoires de la Montagne;France;Chambéry;Public;45.564601;5.917781
CNRS UMR 5554 - ISEM - Institut des Sciences de l’Évolution de Montpellier;France;Montpellier;Public;43.610769;3.876716
CNRS UMR 5600 - EVS - Environnement Ville société;France;Lyon;Public;45.764043;4.835659
CNRS UMR 5600 - Laboratoire LAURe - Lyon Architecture Urbanisme Recherche;France;Lyon;Public;45.764043;4.835659
CNRS UMR 5607 - Ausonius - Institut de recherche antiquité et moyen âge;France;Bordeaux;Public;44.837789;-0.57918
CNRS UMR 5608 - TRACES - Travaux et Recherches Archéologiques sur les Cultures les Espaces et les Sociétés;France;Toulouse;Public;43.604652;1.444209
CNRS UMR 5648 - CIHAM - Histoire archéologie littératures des mondes chrétiens et musulmans médiévaux;France;Lyon;Public;45.764043;4.835659
CNRS UMR 6042 - GEOLAB - Géographie physique et environnementale centré sur le fonctionnement l’évolution et la gestion des milieux naturels et anthropisés;France;Clermont-Ferrand;Public;45.777222;3.087025
CNRS UMR 6249 - Laboratoire Chrono-environnement;France;Besançon;Public;47.237829;6.0240539
CNRS UMR 6273 - CRAHAM -  Centre de recherches archéologiques et historiques anciennes et médiévales;France;Caen;Public;49.182863;-0.370679
CNRS UMR 6298 - ARTEHIS - laboratoire Archéologie Terre Histoire et Sociétés;France;Dijon;Public;47.322047;5.04148
CNRS UMR 6566 - CReAAH - Centre de Recherche en Archéologie Archéosciences Histoire;France;Rennes;Public;48.117266;-1.6777926
CNRS UMR 7041 - ArScAn - Archéologies et Sciences de l'Antiquité;France;Nanterre;Public;48.892423;2.215331
CNRS UMR 7044 - ARCHIMÈDE - Archéologie et histoire ancienne : Méditerranée - Europe;France;Strasbourg;Public;48.5734053;7.7521113
CNRS UMR 7055 - Préhistoire et Technologie;France;Paris;Public;48.856614;2.3522219
CNRS UMR 7209 - Archéozoologie et archéobotanique;France;Paris;Public;48.856614;2.3522219
CNRS UMR 7263 - IMBE - Institut Méditerranéen de la Biodiversité et d’Ecologie marine et continentale;France;Aix-en-Provence;Public;43.529742;5.447427
CNRS UMR 7264 – CEPAM -  Cultures et Environnements Préhistoire Antiquité Moyen Âge;France;Nice;Public;43.7101728;7.2619532
CNRS UMR 7269 – LAMPEA - Laboratoire méditerranéen de préhistoire Europe Afrique;France;Aix-en-Provence;Public;43.529742;5.447427
CNRS UMR 7298 - LA3M - Laboratoire d'Archéologie Médiévale et Moderne en Méditerranée;France;Aix-en-Provence;Public;43.529742;5.447427
CNRS UMR 7299 - Centre Camille Jullian histoire et archéologie de la Méditerranée et de l’Afrique du Nord de la Protohistoire à la fin de l’Antiquité;France;Aix-en-Provence;Public;43.529742;5.447427
CNRS UMR 7310 - IREMAM - Institut de Recherches et d’Études sur les Mondes Arabes et Musulmans;France;Aix-en-Provence;Public;43.529742;5.447427
CNRS UMR 7324 - Citères - Laboratoire Archéologie et Territoires (LAT);France;Tours;Public;47.394144;0.68484
CNRS UMR 7362 - LIVE - Equipe DYnamique des PAysages;France;Strasbourg;Public;48.5734053;7.7521113
CNRS UMR 7516 - Institut de Physique du Globe de Strasbourg;France;Strasbourg;Public;48.5734053;7.7521113
CNRS UMR 8096 - ARCHAM - Archéologie des Amériques;France;Nanterre;Public;48.892423;2.215331
CNRS UMR 8164 - HALMA - Histoire Archéologie et Littérature des Mondes Anciens;France;Villeneuve-d'Ascq;Public;50.6193174;3.1314002
CNRS UMR 8167 - Orient et Méditerranée;France;Paris;Public;48.856614;2.3522219
CNRS UMR 8215 - Trajectoires - De la sédentarisation à l’État;France;Paris;Public;48.856614;2.3522219
CNRS UMR 8233 - MONARIS - De la Molécule aux Nano-Objets : Réactivité Intéractions et Spectroscopies;France;Paris;Public;48.856614;2.3522219
"CNRS UMR 8596 - Centre Roland Mousnier ";France;Paris;Public;48.856614;2.3522219
CNRS UMS 3468 - BBEES - Bases de données Biodiversité Écologie Environnement Sociétés;France;Paris;Public;48.856614;2.3522219
CNRS UMS 3598 - TGIR Huma-Num;France;Paris;Public;48.856614;2.3522219
CNRS USR 3124 - MSHE - Maison des Sciences de l’Homme et de l’Environnement Claude Nicolas Ledoux;France;Besançon;Public;47.237829;6.0240539
CNRS USR 3125 - MMSH - Maison Méditerranéenne des Sciences de l'Homme;France;Aix-en-Provence;Public;43.529742;5.447427
CNRS USR 3155 - IRAA - Institut de Recherche sur l’Architecture Antique;France;Aix-en-Provence;Public;43.529742;5.447427
CNRS USR 3225 - MSH Mondes;France;Nanterre;Public;48.892423;2.215331
CNRS USR 3227 - MISHA - Maison Interuniversitaire des Sciences de l’Homme - Alsace;France;Strasbourg;Public;48.5734053;7.7521113
CNRS USR 3501 - MSH VdL - Maison des Sciences de l'Homme Val de Loire;France;Tours;Public;47.394144;0.68484
CNRS-DR12;France;Marseille;Public;43.296482;5.36978
CNRS-INIST;France;Vandœuvre-lès-Nancy;Public;48.661118;6.17376
Communauté d'agglomération du douaisis;France;Douai;Public;50.3675677;3.0804641
CReA Patrimoine;Belgique;Bruxelles;Public;50.8465573;4.351697
CSIC Consejo Superior de Investigaciones Científicas;Espagne;Saint-Jacques-de-Compostelle;Public;42.8804219;-8.5458608
DAC Guadeloupe (Ministère de la Culture);France;Paris;Public;48.856614;2.3522219
Département de Seine-et-Marne;France;Melun;Public;48.539927;2.6608169
Deutscher Alpenverein;Allemagne;Fribourg-en-Brisgau;Public;47.9960901;7.8494005
DRAC Grand-Est;France;Strasbourg;Public;48.5734053;7.7521113
DRAC IDF - Service régional de l'archéologie d'Île-de-France;France;Paris;Public;48.856614;2.3522219
DRAC Normandie;France;Caen;Public;49.182863;-0.370679
DRAC Pays de la Loire;France;Nantes;Public;48.6937223;6.1834097
EA 1001 CHEC - Centre d'Histoire Espaces et Cultures;France;Clermont-Ferrand;Public;45.7774551;3.0819427
EA 1132 HISCANT-MA - Histoire et cultures de l’antiquité et du moyen-âge;France;Nancy;Public;48.6937223;6.1834097
EA 3002 ITEM - Identités Territoires Expressions Mobilités;France;Pau;Public;51.7520131;-1.2578499
EA 3083 ERIC – Entrepôts Représentation et Ingénierie des Connaissances;France;Lyon;Public;45.764043;4.835659
EA 3400 ARCHE – Arts civilisation et l'histoire de l'Europe;France;Strasbourg;Public;48.5734053;7.7521113
